"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 10, 2020","115.97","115.55","117.59","114.13","138.02M","-0.30%"
"Nov 09, 2020","116.32","120.50","121.99","116.05","154.52M","-2.00%"
"Nov 06, 2020","118.69","118.32","119.20","116.13","114.46M","-0.29%"
"Nov 05, 2020","119.03","117.95","119.62","116.87","126.39M","3.55%"
"Nov 04, 2020","114.95","114.14","115.59","112.35","138.24M","4.08%"
"Nov 03, 2020","110.44","109.66","111.49","108.73","107.62M","1.54%"
"Nov 02, 2020","108.77","109.11","110.68","107.32","122.87M","-0.08%"
"Oct 30, 2020","108.86","111.06","111.99","107.72","190.57M","-5.60%"
"Oct 29, 2020","115.32","112.37","116.93","112.20","146.13M","3.71%"
"Oct 28, 2020","111.20","115.05","115.43","111.10","143.94M","-4.63%"
"Oct 27, 2020","116.60","115.49","117.28","114.54","92.28M","1.35%"
"Oct 26, 2020","115.05","114.01","116.55","112.88","111.85M","0.01%"
"Oct 23, 2020","115.04","116.39","116.55","114.28","82.57M","-0.61%"
"Oct 22, 2020","115.75","117.45","118.04","114.59","101.99M","-0.96%"
"Oct 21, 2020","116.87","116.67","118.71","116.45","89.95M","-0.54%"
"Oct 20, 2020","117.51","116.20","118.98","115.63","124.42M","1.32%"
"Oct 19, 2020","115.98","119.96","120.42","115.66","120.64M","-2.55%"
"Oct 16, 2020","119.02","121.28","121.55","118.81","115.39M","-1.40%"
"Oct 15, 2020","120.71","118.72","121.20","118.15","112.56M","-0.40%"
"Oct 14, 2020","121.19","121.00","123.03","119.62","151.06M","0.07%"
"Oct 13, 2020","121.10","125.27","125.39","119.65","262.33M","-2.65%"
"Oct 12, 2020","124.40","120.06","125.18","119.28","240.23M","6.35%"
"Oct 09, 2020","116.97","115.28","117.00","114.92","100.51M","1.74%"
"Oct 08, 2020","114.97","116.25","116.40","114.59","83.48M","-0.10%"
"Oct 07, 2020","115.08","114.62","115.55","114.13","96.85M","1.70%"
"Oct 06, 2020","113.16","115.70","116.12","112.25","161.50M","-2.87%"
"Oct 05, 2020","116.50","113.91","116.65","113.55","106.24M","3.08%"
"Oct 02, 2020","113.02","112.89","115.37","112.22","144.71M","-3.23%"
"Oct 01, 2020","116.79","117.64","117.72","115.83","116.12M","0.85%"
"Sep 30, 2020","115.81","113.79","117.26","113.62","142.68M","1.51%"
"Sep 29, 2020","114.09","114.55","115.31","113.57","100.06M","-0.76%"
"Sep 28, 2020","114.96","115.01","115.32","112.78","137.67M","2.39%"
"Sep 25, 2020","112.28","108.43","112.44","107.67","149.98M","3.75%"
"Sep 24, 2020","108.22","105.17","110.25","105.00","167.74M","1.03%"
"Sep 23, 2020","107.12","111.62","112.11","106.77","150.72M","-4.19%"
"Sep 22, 2020","111.81","112.68","112.86","109.16","183.06M","1.57%"
"Sep 21, 2020","110.08","104.54","110.19","103.10","195.71M","3.03%"
"Sep 18, 2020","106.84","110.40","110.88","106.09","287.10M","-3.17%"
"Sep 17, 2020","110.34","109.72","112.20","108.71","178.01M","-1.60%"
"Sep 16, 2020","112.13","115.23","116.00","112.04","155.03M","-2.95%"
"Sep 15, 2020","115.54","118.33","118.83","113.61","184.64M","0.16%"
"Sep 14, 2020","115.36","114.72","115.93","112.80","140.15M","3.00%"
"Sep 11, 2020","112.00","114.57","115.23","110.00","180.86M","-1.31%"
"Sep 10, 2020","113.49","120.36","120.50","112.50","182.27M","-3.26%"
"Sep 09, 2020","117.32","117.26","119.14","115.26","176.94M","3.99%"
"Sep 08, 2020","112.82","113.95","118.99","112.68","231.37M","-6.73%"
"Sep 04, 2020","120.96","120.07","123.70","110.89","332.61M","0.07%"
"Sep 03, 2020","120.88","126.91","128.84","120.50","257.60M","-8.01%"
"Sep 02, 2020","131.40","137.59","137.98","127.00","200.12M","-2.07%"
"Sep 01, 2020","134.18","132.76","134.80","130.53","152.47M","3.98%"
"Aug 31, 2020","129.04","127.58","131.00","126.00","225.70M","3.39%"
"Aug 28, 2020","124.81","126.01","126.44","124.58","187.63M","-0.16%"
"Aug 27, 2020","125.01","127.14","127.49","123.83","155.55M","-1.20%"
"Aug 26, 2020","126.52","126.18","126.99","125.08","163.02M","1.36%"
"Aug 25, 2020","124.82","124.70","125.18","123.05","211.50M","-0.82%"
"Aug 24, 2020","125.86","128.70","128.79","123.94","345.94M","1.20%"
"Aug 21, 2020","124.37","119.26","124.87","119.25","338.06M","5.15%"
"Aug 20, 2020","118.28","115.75","118.39","115.73","126.91M","2.22%"
"Aug 19, 2020","115.71","115.98","117.16","115.61","145.54M","0.13%"
"Aug 18, 2020","115.56","114.35","116.00","114.01","105.63M","0.83%"
"Aug 17, 2020","114.61","116.06","116.09","113.96","119.56M","-0.26%"
"Aug 14, 2020","114.91","114.83","115.00","113.04","165.56M","-0.09%"
"Aug 13, 2020","115.01","114.43","116.04","113.93","210.08M","1.77%"
"Aug 12, 2020","113.01","110.50","113.28","110.30","165.94M","3.32%"
"Aug 11, 2020","109.38","111.97","112.48","109.11","187.90M","-2.97%"
"Aug 10, 2020","112.73","112.60","113.78","110.00","212.40M","1.45%"
"Aug 07, 2020","111.11","113.21","113.68","110.29","198.05M","-2.45%"
"Aug 06, 2020","113.90","110.40","114.41","109.80","202.43M","3.49%"
"Aug 05, 2020","110.06","109.38","110.39","108.90","121.99M","0.36%"
"Aug 04, 2020","109.67","109.13","110.79","108.39","172.79M","0.67%"
"Aug 03, 2020","108.94","108.20","111.64","107.89","308.15M","2.52%"
"Jul 31, 2020","106.26","102.88","106.42","100.82","374.30M","10.47%"
"Jul 30, 2020","96.19","94.19","96.30","93.77","158.13M","1.21%"
"Jul 29, 2020","95.04","93.75","95.23","93.71","90.33M","1.92%"
"Jul 28, 2020","93.25","94.37","94.55","93.25","103.63M","-1.64%"
"Jul 27, 2020","94.81","93.71","94.90","93.48","121.21M","2.37%"
"Jul 24, 2020","92.61","90.99","92.97","89.14","185.44M","-0.25%"
"Jul 23, 2020","92.85","97.00","97.08","92.01","197.00M","-4.55%"
"Jul 22, 2020","97.27","96.69","97.97","96.60","89.00M","0.28%"
"Jul 21, 2020","97.00","99.17","99.25","96.74","103.65M","-1.38%"
"Jul 20, 2020","98.36","96.42","98.50","96.06","90.32M","2.11%"
"Jul 17, 2020","96.33","96.99","97.15","95.84","92.19M","-0.20%"
